Altium Designer Pick and Place Locations
C:\applications\hardware\pca10156\trunk\production_files\400708_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       25.03.25
Time:       12:01
Revision:   37042
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R28","0R","TopLayer","RESC1005X04L","38.0193","59.8297","0","Resistor, ±5%, 0.063W"
"R25","0R","TopLayer","RESC1005X04L","38.0248","60.8500","0","Resistor, ±5%, 0.063W"
"Q2","NX138AKS","TopLayer","TSSOP6","79.0001","24.5001","90","MOSFET 2N-CH 60V 0.17A TSSOP6 (SOT363)"
"L8","2.2µH","TopLayer","INDC2016X10N","26.7491","43.3363","90","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"C27","10µF","TopLayer","CAPC1608X06L","24.2491","42.1863","0","Capacitor, X7T, ±20%, 10V"
"C24","10µF","TopLayer","CAPC1608X06L","24.8673","44.2960","90","Capacitor, X7T, ±20%, 10V"
"L4","3.5nH","TopLayer","INDC0603X03L_C","105.4057","35.7303","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"C61","0.3pF","TopLayer","CAPC0603X03L_C","106.2000","36.0153","270","Capacitor, C0G, ±0.1pF, 50V"
"R3","0R","TopLayer","RESC0603X03L_C","103.1500","34.5750","0","Resistor, ±5%, 0.05W"
"C60","3.9pF","TopLayer","CAPC0603X03L_C","102.7733","35.1486","0","Capacitor, NP0, ±0.05pF, 25V"
"J3","USB-C 2.0","TopLayer","SD-80259-001","5.1000","24.1340","270","USB-C Receptacle, 16 Pin, USB 2.0"
"C59","10nF","TopLayer","CAPC1608X06L","8.1000","18.5519","0","Capacitor, X7R, ±10%, 100V"
"U11","ECMF02-4CMX8","TopLayer","UFDFN50P120X250X55-8N","11.0793","24.6332","0","2 Line Common mode filter with ESD protection for USB 2.0 interface"
"R38","0R","TopLayer","RESC0603X03L_C","22.4848","54.9600","270","Resistor, ±5%, 0.05W"
"R4","10k","TopLayer","RESC0603X03L_C","14.9000","48.0910","0","Resistor, ±1%, 0.05W"
"FB3","120R/0.55A","TopLayer","INDC1005X04L","28.9046","47.0960","90","Ferrite Bead, 120 Ohm @ 100MHz, 500mA, 250 mOhm Max"
"C58","4.7µF","TopLayer","CAPC1608X06L","29.5500","49.1393","0","Capacitor, X7S, ±10%, 10V"
"C57","100nF","TopLayer","CAPC0603X03L_C","29.3046","45.8741","180","Capacitor, X5R, ±10%"
"LOGO3","Segger Logo S","BottomLayer","SEGGER_LOGO_S","-148.0883","-174.6130","0","Segger logo, small size"
"LOGO2","WEE Symbol","BottomLayer","WEE_3x4.5mm","-148.0883","-174.6130","0","WEEE Directive symbol"
"C56","100nF","TopLayer","CAPC0603X03L_C","24.8668","46.4460","270","Capacitor, X5R, ±10%"
"C14","100nF","TopLayer","CAPC0603X03L_C","15.0039","8.9920","270","Capacitor, X5R, ±10%"
"U4","TMUX1511","TopLayer","XQFN40P180X260X50-16N","47.7777","44.4374","0","Low-Capacitance, 1:1 (SPST) 4-Channel, analog switch"
"TP3","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","29.6205","4.1250","180","1.5mm circular SMD testpad"
"TP5","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","23.6162","4.1250","180","1.5mm circular SMD testpad"
"J4","TC2050-IDC","TopLayer","TC2050-IDC-NLFP","24.4181","2.7092","0","CBL PLUG-OF-NAILS 10-PIN"
"C48","100nF","TopLayer","CAPC0603X03L_C","9.8250","26.9500","270","Capacitor, X5R, ±10%"
"C30","10nF","TopLayer","CAPC0603X03L_C","9.2250","26.9500","90","Capacitor, X7R, ±10%"
"C54","4.7µF","TopLayer","CAPC1608X06L","15.1000","44.1000","180","Capacitor, X7S, ±10%, 10V"
"R34","0R","TopLayer","RESC1005X04L","90.9735","35.8300","180","Resistor, ±5%, 0.063W"
"R56","100k","TopLayer","RESC0603X03L_C","30.7000","11.8402","180","Resistor, ±1%, 0.05W"
"R16","100k","TopLayer","RESC0603X03L_C","32.3250","22.2374","0","Resistor, ±1%, 0.05W"
"R15","100k","TopLayer","RESC0603X03L_C","32.3250","21.6049","0","Resistor, ±1%, 0.05W"
"R14","100k","TopLayer","RESC0603X03L_C","32.3250","20.9639","0","Resistor, ±1%, 0.05W"
"R13","100k","TopLayer","RESC0603X03L_C","32.3250","20.3250","0","Resistor, ±1%, 0.05W"
"P30","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0043","50.8000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P32","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0043","25.4000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"P31","Pin Header 2x2 SMD","TopLayer","HDR_2x2-SMD","44.0043","38.1000","0","Pin Header 2x2, SMD, 2.54mm (100mil)"
"R36","1k","TopLayer","RESC0603X03L_C","6.0750","52.8000","270","Resistor, ±1%, 0.05W"
"LABEL1","12x12mm","TopLayer","LabelSilk_12x12","-148.0883","-174.6130","0","PCA version label, stick-on, 12x12mm"
"L2","2.7nH","TopLayer","INDC0603X03L_C","102.7734","35.7301","0","Inductor, 600mA, ±0.1nH, 120mOhm"
"C9","2.0pF","TopLayer","CAPC0603X03L_C","104.6346","35.4453","90","Capacitor, NP0, ±0.05pF, 25V"
"L3","3.5nH","TopLayer","INDC0603X03L_C","103.8300","35.7303","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"FB1","120R/0.2A","TopLayer","INDC0603X03L_C","98.6332","41.3169","270","Ferrite Bead, 120 Ohm @ 100MHz, 200mA, 500 mOhm Max"
"C1","2.2µF","TopLayer","CAPC0603X03L_C","97.7204","39.4390","180","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"C2","2.2µF","TopLayer","CAPC0603X03L_C","99.2935","41.3170","270","Capacitor, Ceramic, 2.2µF 2.5V X6T 0201,±20%"
"L1","4.7µH","TopLayer","INDC1608X06L","96.7281","40.7582","180","Inductor, 120mA, ±20%, 0.65R"
"C51","1.0µF","TopLayer","CAPC1005X04L","76.2750","28.5757","270","Capacitor, X5R, ±10%, 6.3V"
"C11","100nF","TopLayer","CAPC0603X03L_C","96.2853","39.4390","180","Capacitor, X5R, ±10%"
"C3","10µF","TopLayer","CAPC1005X04L","95.0174","40.3667","270","Capacitor, X6S, ±20%, 6.3V"
"C12","10nF","TopLayer","CAPC0603X03L_C","98.6331","39.7168","90","Capacitor, X7R, ±10%"
"C4","100nF","TopLayer","CAPC0603X03L_C","102.1637","38.5230","90","Capacitor, X5R, ±10%"
"C5","2.2nF","TopLayer","CAPC0603X03L_C","102.7733","36.7500","180","Capacitor, X7R, ±10%, 10V"
"X2","32MHz","TopLayer","BT-XTAL_2016","103.9925","39.2342","90","XTAL SMD 2016, 32MHz, Cl=8pF, Tol: ±10ppm, Stab: ±15ppm"
"C6","1.5pF","TopLayer","CAPC0603X03L_C","102.7733","36.2500","0","Capacitor, NP0, ±0.05pF, 25V, High Q"
"TP22","TP","TopLayer","S1751","49.4750","4.5000","270","PC TEST POINT TIN SMD L"
"TP13","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","45.4957","13.0556","90","1.5mm circular SMD testpad"
"C22","100nF","TopLayer","CAPC0603X03L_C","21.0923","11.2386","270","Capacitor, X5R, ±10%"
"C34","100nF","TopLayer","CAPC0603X03L_C","24.3435","11.2386","270","Capacitor, X5R, ±10%"
"C29","100nF","TopLayer","CAPC0603X03L_C","20.7000","49.4750","90","Capacitor, X5R, ±10%"
"C7","100nF","TopLayer","CAPC0603X03L_C","94.5183","33.8494","270","Capacitor, X5R, ±10%"
"C8","100nF","TopLayer","CAPC0603X03L_C","100.3250","31.5750","0","Capacitor, X5R, ±10%"
"SB8","Solderbridge","TopLayer","Solderbridge","12.4503","14.9100","0","Solderbridge"
"TP15","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","36.1739","49.1998","90","1.5mm circular SMD testpad"
"TP14","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","9.2499","31.7500","90","1.5mm circular SMD testpad"
"TP12","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","10.6934","48.9204","90","1.5mm circular SMD testpad"
"R33","0R","TopLayer","RESC1005X04L","90.9735","36.7550","180","Resistor, ±5%, 0.063W"
"LOGO1","Nordic Logo","TopLayer","NORDIC_LOGO_LYING","-148.0883","-174.6130","90","Nordic logo lying"
"C47","1.0µF","TopLayer","CAPC1005X04L","10.6000","27.3250","270","Capacitor, Ceramic, X5R, ±10%, 16V"
"U5","TMUX1511","TopLayer","XQFN40P180X260X50-16N","47.7605","31.7363","0","Low-Capacitance, 1:1 (SPST) 4-Channel, analog switch"
"TP8","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","23.3723","58.0390","270","1.5mm circular SMD testpad"
"TP1","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","38.1043","47.2186","90","1.5mm circular SMD testpad"
"TP2","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","100.3395","40.0929","180","1.5mm circular SMD testpad"
"C41","100nF","TopLayer","CAPC1005X04L","93.1863","33.6552","90","Capacitor, X7R, ±10%"
"SW6","PB SW","TopLayer","Switch-PB-6.2x6.3mm-SMD","98.1792","4.5580","180","Tactile Switch, SPNO, SMD, 160gf, 6.2x6.3x2.5mm"
